client_name,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls,distinct_versions
coda-agent-runtime,8,2,6,25.0,2,1
openclaw-direct (via mcp-remote 0.1.37),8,5,3,62.5,5,1
jetbrains-ai-assistant-client (via mcp-remote 0.1.37),8,0,8,0.0,0,1
omnibot-android,8,1,7,12.5,1,1
nin-connect,8,3,5,37.5,3,1
Spring AI MCP Client,8,0,8,0.0,0,1
mcp-rugpull-research,8,0,8,0.0,0,1
my-mcp-orchestrator,8,0,8,0.0,0,1
omp-coding-agent (via mcp-remote 0.1.37),7,0,7,0.0,0,1
spiderfoot,7,0,7,0.0,0,1
helper-for-huggingface,7,0,7,0.0,0,1
wmcp-probe,7,0,7,0.0,0,1
npayload-primus,7,2,5,28.571,2,1
umai-mcp-prober,7,0,7,0.0,0,1
Insomnia,7,1,6,14.286,4,2
pochi,7,0,7,0.0,0,1
koda-client,7,0,7,0.0,0,1
mcp (via mcp-remote 0.1.30),7,0,7,0.0,0,1
Jabberwocky,7,4,3,57.143,55,1
HFMCP.GenImage.Web,7,0,7,0.0,0,1
ael,7,0,7,0.0,0,1
vsc-aitoolkit-hugging face,7,0,7,0.0,0,4
mr-claw,7,1,6,14.286,1,1
qwen-cli-mcp-client-huggingface (via mcp-remote 0.1.37),7,0,7,0.0,0,1
mcprouter-client,7,0,7,0.0,0,1
factory-cli (via mcp-remote 0.1.37),7,0,7,0.0,0,3
proxyward-dashboard,7,0,7,0.0,0,1
pi-mcp-huggingface (via mcp-remote 0.1.37),7,6,1,85.714,14,1
codex-probe,7,0,7,0.0,0,3
milo-mcp-rugpull-watch,7,0,7,0.0,0,1
v3-bench,7,3,4,42.857,3,1
copilot-cli,7,0,7,0.0,0,1
mcp-ts-oauth-client,7,0,7,0.0,0,1
lovable-agent,7,0,7,0.0,0,1
x,7,0,7,0.0,0,1
External MCP: huggingface_mcp,7,0,7,0.0,0,1
connectivity-probe (via mcp-remote 0.1.16),7,0,7,0.0,0,1
aisec-registry-probe,7,0,7,0.0,0,1
infersec-api,7,4,3,57.143,4,1
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.41),7,0,7,0.0,0,1
mcp (via mcp-remote 0.1.26),7,4,3,57.143,16,1
aozora,6,0,6,0.0,0,1
my-test-client (via mcp-remote 0.1.37),6,3,3,50.0,3,1
mcp-inspector,6,2,4,33.333,3,1
com.dillon.chat,6,2,4,33.333,9,1
mcpdebugger.dev,6,0,6,0.0,0,1
hv-agent-cmcp_huggingface_co,6,1,5,16.667,1,1
mcp-remote-test-client (via mcp-remote 0.1.33),6,0,6,0.0,0,1
MemoryGraph,6,0,6,0.0,0,1
antigravity-tester (via mcp-remote 0.1.37),6,0,6,0.0,0,1
wrapper-client-huggingface,6,0,6,0.0,0,1
com.raycast.macos (via mcp-remote 0.1.37),6,5,1,83.333,41,1
curl-test,6,1,5,16.667,1,2
openclaw-check,6,0,6,0.0,0,1
desktop-commander,6,0,6,0.0,0,1
operant-gateway-preflight,6,0,6,0.0,0,1
mcp-remote-test-client (via mcp-remote 1.12.0),6,0,6,0.0,0,1
executor-mcp,6,0,6,0.0,0,1
JetBrains-PY/copilot-intellij,6,2,4,33.333,17,4
grok-shell-grok_com_huggingface,6,0,6,0.0,0,2
local-client,6,4,2,66.667,4,1
SeekerClaw,6,0,6,0.0,0,1
connector:custom-mcp:hf-mcp-server,6,0,6,0.0,0,1
xyne-claw-auth,6,1,5,16.667,3,1
lyra-mcp-health-audit,6,0,6,0.0,0,1
databricks-onechat,6,0,6,0.0,0,1
opencode-debug,5,0,5,0.0,0,5
sami-client,5,1,4,20.0,1,1
mcp-bridge,5,5,0,100.0,11,1
000a0009-0b68-413f-990a-241d01207cb5,5,0,5,0.0,0,1
Hugging,5,0,5,0.0,0,1
hermes-test,5,0,5,0.0,0,2
gemini-cli-mcp-client-huggingface-skills,5,0,5,0.0,0,1
AHS-Tester,5,0,5,0.0,0,1
Huggingface MCP,5,0,5,0.0,0,1
grok-shell-grok_com_huggingface_remote,5,3,2,60.0,68,1
smart-pc-builder,5,0,5,0.0,0,1
check,5,0,5,0.0,0,1
tool-proxy,5,4,1,80.0,4,1
codex-smoke,5,0,5,0.0,0,2
codex-cli,5,3,2,60.0,9,1
mcpstone-probe,5,0,5,0.0,0,1
workr-seed,5,0,5,0.0,0,1
cli,5,3,2,60.0,6,2
r,5,1,4,20.0,20,2
LogicGrid,5,0,5,0.0,0,1
mcp-review-bot-preauth,5,0,5,0.0,0,1
codex-config-check,5,0,5,0.0,0,2
mcp-streamable-http-bridge-huggingface,5,0,5,0.0,0,1
Visual Studio Code - Insiders (via mcp-remote 0.1.37),5,0,5,0.0,0,3
multiAgent-backend,5,0,5,0.0,0,1
verify-client,5,0,5,0.0,0,1
note-gen,5,0,5,0.0,0,1
JetBrains-IU/copilot-intellij,5,1,4,20.0,1,2
ONIT Connector,4,0,4,0.0,0,1
zerotwo-mcp-client-huggingface_1771511074884,4,0,4,0.0,0,1
agenttool,4,0,4,0.0,0,1
mcp-tools-client,4,0,4,0.0,0,1
AiTop Club Ambassador aitop.cz,4,0,4,0.0,0,1
mcp-use Inspector,4,2,2,50.0,4,1
codex,4,2,2,50.0,2,1
remio-mcp-runtime,4,0,4,0.0,0,1
higo,4,2,2,50.0,4,1
grok-shell-huggingface-skills,4,0,4,0.0,0,1
mcp-http-bridge-homelab-huggingface (via mcp-remote 0.1.37),4,0,4,0.0,0,1
MCP OAuth Debug Client,4,0,4,0.0,0,1
mcp-bridge-probe,4,0,4,0.0,0,1
MCPInspector-iOS,4,3,1,75.0,3,1
bluenexus-probe,4,0,4,0.0,0,1
mcp-remote-test-client (via mcp-remote 1.29.0),4,0,4,0.0,0,1
ONIT MCP Sync,4,0,4,0.0,0,1
yua,4,0,4,0.0,0,1
CodeFuse,4,0,4,0.0,0,1
meshclaw-probe (via mcp-remote 0.1.37),4,0,4,0.0,0,1
mcp-remote-test-client (via mcp-remote 1.23.0),4,0,4,0.0,0,1
opencode-test,4,0,4,0.0,0,2
BB8-MCP-Broker-conn-87d87afb,4,0,4,0.0,0,1
unichat-client,4,0,4,0.0,0,1
audit,4,0,4,0.0,0,3
BB8-MCP-Broker-conn-c09b2772,4,0,4,0.0,0,1
asm-test,4,0,4,0.0,0,1
Postman Client - 576f2e2a-af7c-4505-8b69-411f474f5be6,4,0,4,0.0,0,1
MultiAgentClient,4,0,4,0.0,0,1
openclaw-kaggle-test,4,1,3,25.0,1,1
BB8-MCP-Broker-conn-0463355b,4,0,4,0.0,0,1
MCPRegistry-Crawler,4,0,4,0.0,0,1
mcpx::huggingface,4,0,4,0.0,0,1
onit-wiki-refresh,4,0,4,0.0,0,1
mcpc,4,0,4,0.0,0,3
@smolagents/mcp-client,4,2,2,50.0,4,1
frank,4,1,3,25.0,16,1
capframe-mcp-recon-http,4,0,4,0.0,0,1
mcp-check (via mcp-remote 0.1.37),4,0,4,0.0,0,1
curltest,4,0,4,0.0,0,2
hoot-backend,4,0,4,0.0,0,1
Positron,4,0,4,0.0,0,2
mcp-remote,4,0,4,0.0,0,3
trace-gen,4,0,4,0.0,0,1
Bifrost-hf_hosted,4,0,4,0.0,0,1
grader,4,0,4,0.0,0,2
concierge-tool-bridge,4,4,0,100.0,15,1
AionUi,4,0,4,0.0,0,2
mcp-remote-rs-test-client,4,0,4,0.0,0,1
proxyward-debug,4,0,4,0.0,0,1
mcp-proxy-discovery,4,0,4,0.0,0,1
example-client,4,1,3,25.0,1,1
agent-native-cloud-poc,4,0,4,0.0,0,1
Copilot MCP Gateway,4,0,4,0.0,0,1
checkmcp,4,0,4,0.0,0,1
mcp-emacs (via mcp-remote 0.1.37),4,2,2,50.0,6,1
HiDestina,4,0,4,0.0,0,1
codex-cli-test,3,0,3,0.0,0,1
omni-test,3,0,3,0.0,0,1
argentica,3,0,3,0.0,0,1
agentlytics,3,0,3,0.0,0,1
goose,3,0,3,0.0,0,1
codex-setup-probe,3,0,3,0.0,0,1
VSCodium,3,0,3,0.0,0,1
Bifrost-HuggingFace,3,0,3,0.0,0,1
Elosia,3,0,3,0.0,0,1
threat-intelligence,3,0,3,0.0,0,1
gemini-cli-mcp-client (via mcp-remote 0.1.12),3,0,3,0.0,0,3
agent-builder-control-plane,3,0,3,0.0,0,1
glama-mcp-inspector,3,0,3,0.0,0,1
OpenAgentic,3,0,3,0.0,0,1
mcp-client-hf,3,0,3,0.0,0,1
KoboldAI Lite MCP,3,0,3,0.0,0,1
symphony-snapshotter,3,0,3,0.0,0,2
universal-chatbot,3,0,3,0.0,0,1
Postman Client - dd74bd5c-d99f-4b0c-b822-9ca475df0d17,3,0,3,0.0,0,1
my-mcp,3,1,2,33.333,1,1
scan-my-mcp,3,0,3,0.0,0,1
proxy-test,3,0,3,0.0,0,1
hf-official-client,3,0,3,0.0,0,1
chrome-devtools,3,0,3,0.0,0,1
lungani,3,1,2,33.333,1,1
gateway-mcp-proxy,3,0,3,0.0,0,1
mcp-url-validator,3,0,3,0.0,0,1
mcpdiff,3,0,3,0.0,0,1
mcp-router,3,0,3,0.0,0,1
Toolbase,3,0,3,0.0,0,1
mcp-scraper,3,0,3,0.0,0,1
K Intelligence Studio,3,3,0,100.0,3,1
manifest-tool-runner,3,2,1,66.667,12,1
codex-mcp-client (via mcp-remote 0.1.31),3,0,3,0.0,0,1
toolsense,3,0,3,0.0,0,1
OfficeAI,3,1,2,33.333,18,1
blockbrain-connection-tester,3,0,3,0.0,0,1
llama-ui,3,0,3,0.0,0,1
origon-core,3,2,1,66.667,2,1
s,3,0,3,0.0,0,1
conformance-origin-test,3,0,3,0.0,0,1
CustomMcpClient,3,0,3,0.0,0,1
grok-shell-grok_com_huggingface_full,3,0,3,0.0,0,1
pipelines-tool-worker,3,0,3,0.0,0,1
nextchat-mcp-client-Hugging-Face,3,0,3,0.0,0,1
JetBrains.IntelliJ IDEA,3,0,3,0.0,0,1
aigw-mcp-client,3,0,3,0.0,0,2
codex-mcp-client (via mcp-remote 0.1.36),3,0,3,0.0,0,1
BB8-MCP-Broker-conn-5cbcb405,3,0,3,0.0,0,1
mcp-evaluator,3,0,3,0.0,0,1
example-client (via mcp-remote 0.1.37),3,0,3,0.0,0,1
OCI-Chat-Test,3,0,3,0.0,0,1
ssrf-test,3,0,3,0.0,0,1
claude-code-test,3,0,3,0.0,0,1
claude-cli,3,0,3,0.0,0,1
loach,3,0,3,0.0,0,1
Dev ChatBot-HuggingFace,3,0,3,0.0,0,1
codex-debug,3,0,3,0.0,0,2
copilot-mcp-probe,3,0,3,0.0,0,1
agent-os-backend,3,0,3,0.0,0,1
codex-hf-mcp,3,0,3,0.0,0,1
strand-mcp-probe,3,0,3,0.0,0,1
roo-code,3,0,3,0.0,0,1
LocalAI,3,1,2,33.333,1,1
nuclei-origin-test,3,0,3,0.0,0,1
inspector,3,0,3,0.0,0,2
mcp-protolab,3,0,3,0.0,0,1
mcp-probe,3,0,3,0.0,0,2
conformance-session-id-test,3,0,3,0.0,0,1
Alice,3,0,3,0.0,0,1
agentflow-v3,3,0,3,0.0,0,1
protos-probe,3,0,3,0.0,0,1
mcp-guard,3,0,3,0.0,0,1
botrix-probe,3,1,2,33.333,1,1
mcprism-live-runner,3,0,3,0.0,0,2
seance-debug,3,0,3,0.0,0,1
数据巡查,3,1,2,33.333,1,1
codex-hf-mcp-install-check,3,0,3,0.0,0,1
final-hf-mcp-validation,2,0,2,0.0,0,1
systemprompt,2,0,2,0.0,0,1
kiro-check,2,0,2,0.0,0,1
mcp-remote-test-client (via mcp-remote 1.24.0),2,0,2,0.0,0,1
Enchanté,2,2,0,100.0,19,1
bilt-agent-registry-mcp-gateway,2,1,1,50.0,1,1
mcp-rest-proxy,2,0,2,0.0,0,1
kat-probe,2,0,2,0.0,0,1
mcp-review-probe,2,0,2,0.0,0,1
aionui-mcp-test,2,0,2,0.0,0,1
mcp-s client,2,0,2,0.0,0,1
codex-hfco-probe,2,0,2,0.0,0,1
BoltAI,2,0,2,0.0,0,1
bulk-mcp-check,2,0,2,0.0,0,1
reno-design-spec,2,0,2,0.0,0,1
mcp-noauth-probe,2,0,2,0.0,0,1
caspian-agent,2,2,0,100.0,582,1
mcp-ecosystem-scanner,2,0,2,0.0,0,1
mcp-gateway-discovery,2,0,2,0.0,0,1
tool_116,2,1,1,50.0,5,1
agentic-kernel,2,0,2,0.0,0,1
ClaudeAndroid,2,0,2,0.0,0,1
fl-mcp-research,2,0,2,0.0,0,1
Antigravity-Tester (via mcp-remote 0.1.37),2,0,2,0.0,0,1
Aether Android,2,0,2,0.0,0,1
codex-local-config-check,2,0,2,0.0,0,1
catalog-extractor (via mcp-remote 0.1.16),2,0,2,0.0,0,1
dataset-pipeline,2,0,2,0.0,0,1
codex-auth-test,2,0,2,0.0,0,1
agentgateway,2,0,2,0.0,0,1
comcom-verifier,2,0,2,0.0,0,1
security-audit,2,0,2,0.0,0,1
concierge-probe,2,0,2,0.0,0,1
grok,2,0,2,0.0,0,1
codex-mcp-test,2,1,1,50.0,1,1
mcp-test-harness (via mcp-remote 0.1.37),2,0,2,0.0,0,1
TreatGPT,2,0,2,0.0,0,1
tester,2,0,2,0.0,0,1
manus,2,0,2,0.0,0,1
BB8-MCP-Broker-conn-ae19925b,2,0,2,0.0,0,1
agent-client,2,0,2,0.0,0,1
capframe-probe,2,0,2,0.0,0,1
platform-mcp-gateway,2,0,2,0.0,0,1
neworange-mcp-remote-test-client (via neworange-mcp-remote 0.1.39),2,0,2,0.0,0,1
Lovable MCP Client,2,0,2,0.0,0,1
auth-probe,2,0,2,0.0,0,2
mcp-remote-test-client (via mcp-remote 1.11.0),2,0,2,0.0,0,1
mcp-codeexec,2,0,2,0.0,0,1
connector:custom-mcp:hugging-face,2,0,2,0.0,0,1
lisa-mcp-client,2,1,1,50.0,1,1
Raccoon,2,0,2,0.0,0,1
local-agent-mode-Hugging Face (Gradio) (via mcp-remote 0.1.37),2,0,2,0.0,0,1
AAH-discover,2,0,2,0.0,0,1
gateway-mcp-multi-target-proxy,2,0,2,0.0,0,1
missionward,2,0,2,0.0,0,1
llmp-scanner,2,0,2,0.0,0,1
dappier-api,2,0,2,0.0,0,1
469c6544-42c9-4ac0-9648-fd56a417ac66,2,1,1,50.0,1,1
mcp-remote-test-client (via mcp-remote 1.25.0),2,0,2,0.0,0,1
super-mcp-router,2,0,2,0.0,0,1
BB8-MCP-Broker-conn-75ec7d63,2,0,2,0.0,0,1
local-agent-mode-huggingface-fix (via mcp-remote 0.1.37),2,0,2,0.0,0,1
probe (via mcp-remote 0.1.37),2,0,2,0.0,0,1
mcp-dataset-probe,2,0,2,0.0,0,1
mcp-contract-test,2,0,2,0.0,0,1
poc,2,1,1,50.0,5,1
smoke-test,2,0,2,0.0,0,2
h2ogpte_introspect (via mcp-remote 0.1.37),2,0,2,0.0,0,1
hf-mcp-eval,2,0,2,0.0,0,1
esan,2,0,2,0.0,0,1
codex-local-probe (via mcp-remote 0.1.37),2,1,1,50.0,1,1
huggingface-client,2,0,2,0.0,0,1
hf-mcp-golden-eval,2,2,0,100.0,70,1
zerotwo-mcp-client-huggingface_1777695951427,2,1,1,50.0,2,1
mavis,2,1,1,50.0,4,1
mcp-remote-test-client (via mcp-remote 0.1.38-enterit-2),2,0,2,0.0,0,1
structure-generator (via mcp-remote 0.1.37),2,0,2,0.0,0,1
mcp-remote-test-client (via mcp-remote 0.1.38-enterit-1),2,0,2,0.0,0,1
cequence-internal-crawler,2,0,2,0.0,0,1
gateway-auto-discovery,2,0,2,0.0,0,1
genvoice-sync,2,0,2,0.0,0,1
aimap-scanner,2,0,2,0.0,0,1
mcp-researcher,2,0,2,0.0,0,1
ZeroShield Gateway,2,0,2,0.0,0,1
halvo-mcp-proxy-client (via mcp-remote 0.1.37),2,0,2,0.0,0,1
avap-external-gateway-streamable,2,0,2,0.0,0,1
mobeus-mcp-tester,2,0,2,0.0,0,1
zapier-mcp-client,2,0,2,0.0,0,1
unilib-mcp-poc-tester,2,0,2,0.0,0,1
Antigravity-Demo (via mcp-remote 0.1.37),2,2,0,100.0,2,1
blinko-mcp-client,2,0,2,0.0,0,1
mcp-tester,2,0,2,0.0,0,1
3782591c-aaf3-4461-b98c-e74a518d3d40,2,1,1,50.0,1,1
mcp-lens,2,0,2,0.0,0,1
mcpwn_client_1,2,0,2,0.0,0,1
Crowe Logic Code,2,0,2,0.0,0,1
ToolGateway-MCP-Explorer,2,0,2,0.0,0,1
sprout,2,0,2,0.0,0,1
cakewalk-discovery,2,0,2,0.0,0,1
mcpping,2,1,1,50.0,2,1
nexus-test,2,0,2,0.0,0,1
codex-manual-mcp-audit,2,0,2,0.0,0,1
gateway-client,2,0,2,0.0,0,1
tool-list-capture (via mcp-remote 0.1.16),2,0,2,0.0,0,1
JetBrains.PyCharm,2,0,2,0.0,0,1
mcpjungle mcp client for https://hf.co/mcp,2,0,2,0.0,0,1
mcp-remote-test-client (via mcp-remote 0.1.32),2,0,2,0.0,0,1
sim-platform,2,0,2,0.0,0,1
mcp-health,2,0,2,0.0,0,2
ozwell-chat-smoke,2,0,2,0.0,0,1
better-clawd,2,0,2,0.0,0,1
intercom-mcp-streamable-http-client,2,0,2,0.0,0,1
Postman Client - 4ad0c2b5-7721-4949-80f5-475545a43758,2,0,2,0.0,0,1
roo,2,0,2,0.0,0,1
conduit-smoke,2,0,2,0.0,0,2
mcpwn_client_0,2,0,2,0.0,0,1
onyx-dcr-audit,2,0,2,0.0,0,1
mcp-cli (via mcp-remote 0.1.37),2,0,2,0.0,0,1
trovata-admin-app-console,2,0,2,0.0,0,1
langdock-client,2,0,2,0.0,0,1
jaimes-test,2,0,2,0.0,0,1
Antigravity,2,0,2,0.0,0,1
openclaw,2,1,1,50.0,3,2
codex-mcp-tool-test,2,0,2,0.0,0,1
nuwacom-mcp-test,2,0,2,0.0,0,1
hermes-check,2,0,2,0.0,0,1
lyra-self-audit,2,0,2,0.0,0,2
umai-v2,2,0,2,0.0,0,1
72F312AF-5969-44F6-8F4C-8DBCE4134FB1,2,0,2,0.0,0,1
highflame-admin,2,0,2,0.0,0,1
orbit-active-probe,2,0,2,0.0,0,1
Superagent,2,0,2,0.0,0,1
celeste-probe,2,0,2,0.0,0,1
codex-mcp-audit,2,0,2,0.0,0,1
neworange-mcp-remote-fallback-test,2,0,2,0.0,0,1
mcp-test-harness,2,1,1,50.0,1,1
cursor-curl,2,1,1,50.0,4,1
curl-probe,1,0,1,0.0,0,1
a,1,0,1,0.0,0,1
llmp-mcp-scanner,1,0,1,0.0,0,1
mcp (via mcp-remote 0.1.36),1,1,0,100.0,4,1
quicksuite-prm-probe,1,0,1,0.0,0,1
aidr-auth-probe,1,0,1,0.0,0,1
discovery,1,0,1,0.0,0,1
foundry-poc,1,0,1,0.0,0,1
BB8-MCP-Broker-conn-ad9909e2,1,0,1,0.0,0,1
step1_probe,1,0,1,0.0,0,1
d,1,0,1,0.0,0,1
MAF-ImageGen-01,1,0,1,0.0,0,1
fortis-managed-agents,1,0,1,0.0,0,1
generation-service,1,0,1,0.0,0,1
figr-probe,1,0,1,0.0,0,1
ainek,1,0,1,0.0,0,1
mcp-connector,1,0,1,0.0,0,1
MindFront,1,0,1,0.0,0,1
Postman Client - 43a9d0e7-4a83-496f-bb3e-2932d0361e7e,1,0,1,0.0,0,1
Postman Client - d18432bd-4446-4fdd-9d27-974edb143c15,1,0,1,0.0,0,1
bunny,1,0,1,0.0,0,1
OCI Enterprise AI Chat MCP preset test,1,1,0,100.0,1,1
	Hugging Face,1,0,1,0.0,0,1
lumi-probe,1,0,1,0.0,0,1
oten-audit,1,0,1,0.0,0,1
harbor-qa,1,0,1,0.0,0,1
mcp-measurement-research,1,0,1,0.0,0,1
fs-mcp-bridge,1,0,1,0.0,0,1
Postman Client - 68d716ac-8e51-4236-b7ca-9e415f3bf749,1,0,1,0.0,0,1
BoltAI (via mcp-remote 0.1.37),1,0,1,0.0,0,1
qwen-cli-mcp-client-claude.ai Hugging Face,1,0,1,0.0,0,1
mcp-unpack,1,0,1,0.0,0,1
wiki-refresh,1,0,1,0.0,0,1
scout,1,1,0,100.0,11,1
taksamai,1,0,1,0.0,0,1
olympus-curl-test,1,1,0,100.0,1,1
coollab-probe,1,0,1,0.0,0,1
sold-check,1,0,1,0.0,0,1
chloe-test,1,0,1,0.0,0,1
addy-probe,1,0,1,0.0,0,1
phase1-validation,1,0,1,0.0,0,1
adv,1,1,0,100.0,1,1
diag (via mcp-remote 0.1.37),1,0,1,0.0,0,1
knowledge-sources,1,0,1,0.0,0,1
curl-test-client,1,0,1,0.0,0,1
unauth-test,1,1,0,100.0,2,1
Postman Client - 1e7fc90a-df84-493a-a7b8-7de2e5440283,1,0,1,0.0,0,1
mcp-registry,1,0,1,0.0,0,1
grid-meta-mcp-client,1,0,1,0.0,0,1
capy-mcp-client,1,0,1,0.0,0,1
aionrs,1,0,1,0.0,0,1
Postman Client - 45b550a7-d3b5-4b3e-a4e3-846415d484ef,1,0,1,0.0,0,1
modular-agent,1,0,1,0.0,0,1
gamma-remote-mcp-auth-enricher,1,0,1,0.0,0,1
Reuters Assistant Backend,1,0,1,0.0,0,1
circuitry-mcp-client,1,0,1,0.0,0,1
foldcanvas-probe,1,0,1,0.0,0,1
ai-fed-hugging-face,1,0,1,0.0,0,1
claude-ai (via mcp-remote 0.1.16),1,0,1,0.0,0,1
linear-agent,1,0,1,0.0,0,1
avap-gateway,1,0,1,0.0,0,1
vps-test,1,0,1,0.0,0,1
BB8-MCP-Broker-conn-b668bbbc,1,0,1,0.0,0,1
cc-statusline,1,0,1,0.0,0,1
mcp-state-client,1,0,1,0.0,0,1
AI Backend MCP Client,1,0,1,0.0,0,1
Postman Client - 696896b28e4b8ba4533fe2e9,1,0,1,0.0,0,1
Postman Client - bed6931a-5608-42a0-94f6-fb830c53ac91,1,0,1,0.0,0,1
code-server,1,0,1,0.0,0,1
mcp-version-probe,1,0,1,0.0,0,1
native-tenant-api-discovery,1,0,1,0.0,0,1
harbor-probe,1,0,1,0.0,0,1
Mission Probe,1,0,1,0.0,0,1
mcp-spec-conformance-test,1,0,1,0.0,0,1
malaika-cursor-audit,1,0,1,0.0,0,1
porto-probe,1,0,1,0.0,0,1
codex-test,1,0,1,0.0,0,1
code-pilot-ai,1,0,1,0.0,0,1
triage,1,0,1,0.0,0,1
mcp-auth-probe,1,0,1,0.0,0,1
JetBrains-RD/copilot-intellij,1,0,1,0.0,0,1
zenlytic-zoe,1,0,1,0.0,0,1
supabase-edge-fn,1,0,1,0.0,0,1
OneServer Marketplace,1,0,1,0.0,0,1
lmstudio-config-test,1,1,0,100.0,1,1
AgentCoreRegistry,1,0,1,0.0,0,1
smoke (via mcp-remote 0.1.37),1,0,1,0.0,0,1
violet-code,1,0,1,0.0,0,1
shibumi-mcp-tester,1,0,1,0.0,0,1
pi-hf-query,1,1,0,100.0,1,1
otot-smoke,1,0,1,0.0,0,1
claude-code (via mcp-remote 0.1.18),1,0,1,0.0,0,1
cloud-ai-agent-executor,1,1,0,100.0,1,1
circuitry-smoke,1,0,1,0.0,0,1
agentforge-mcp-client,1,0,1,0.0,0,1
claw-mcp-probe,1,0,1,0.0,0,1
hub-byo-test,1,0,1,0.0,0,1
freeze-tools,1,0,1,0.0,0,1
codex-post-restart-smoke,1,0,1,0.0,0,1
audit-probe-anon-init,1,0,1,0.0,0,1
lisa-discovery,1,0,1,0.0,0,1
BB8-MCP-Broker-conn-8f7a25c5,1,0,1,0.0,0,1
verify,1,0,1,0.0,0,1
sr,1,0,1,0.0,0,1
Postman Client - 8869b8ba-05d9-43a7-8769-acb5c1aedbe1,1,0,1,0.0,0,1
morphed-url-probe,1,0,1,0.0,0,1
EndlessSource,1,0,1,0.0,0,1
stack-install-probe,1,0,1,0.0,0,1
Postman Client - e1f3c319-495a-4c01-a9d5-082537762897,1,0,1,0.0,0,1
Postman Client (via mcp-remote 0.1.37),1,1,0,100.0,1,1
roo-connectivity-test,1,0,1,0.0,0,1
runlayer-watch,1,0,1,0.0,0,1
audit-probe-A,1,0,1,0.0,0,1
codebuddy-test,1,0,1,0.0,0,1
nuclei-mcp-scan,1,0,1,0.0,0,1
qwen-cli-mcp-client-huggingface-tools,1,0,1,0.0,0,1
catalog-test,1,0,1,0.0,0,1
MCP Streamable HTTP Client,1,0,1,0.0,0,1
huggingface_hub.MCPClient (via mcp-remote 0.1.37),1,0,1,0.0,0,1
Postman Client - 09587389-f2f0-4fda-8a38-a54c3475d48a,1,0,1,0.0,0,1
bio-agents-probe,1,0,1,0.0,0,1
hf-plugin-precheck,1,0,1,0.0,0,1
avap-agent-tools-discovery,1,0,1,0.0,0,1
AIAgentCreator,1,0,1,0.0,0,1
copilot-validation,1,0,1,0.0,0,1
oatbox-probe,1,0,1,0.0,0,1
interview-mcp-client,1,1,0,100.0,1,1
Postman Client - 467c3efa-160a-4cfc-b2f3-f5191a74a5e5,1,0,1,0.0,0,1
wize-rooms-agent,1,0,1,0.0,0,1
ozwell-spike,1,0,1,0.0,0,1
external-test,1,0,1,0.0,0,1
Dev ChatBot-huggingface-8c10dac6,1,0,1,0.0,0,1
Dev ChatBot-huggingface-92d476a7,1,0,1,0.0,0,1
GenAIWithMEAI,1,0,1,0.0,0,1
mcphub-health-checker,1,0,1,0.0,0,1
zstrike-manual-test,1,1,0,100.0,1,1
codex-hf-env-check,1,0,1,0.0,0,1
gigacode-plugin-jetbrains,1,0,1,0.0,0,1
gemini-cli-mcp-client-hf-mcp-server,1,0,1,0.0,0,1
test (via mcp-remote 0.1.16),1,0,1,0.0,0,1
Dev ChatBot-huggingface-ba36f8e6,1,0,1,0.0,0,1
Huggin Face,1,0,1,0.0,0,1
PotatoAI,1,0,1,0.0,0,1
hyperagent,1,0,1,0.0,0,1
local-test,1,0,1,0.0,0,1
apps-radar-openai-sdk-detector,1,0,1,0.0,0,1
pi-mcp-hf-mcp-server (via mcp-remote 0.1.37),1,0,1,0.0,0,1
BB8-MCP-Broker-conn-5ca8486d,1,0,1,0.0,0,1
bilt-gateway-probe,1,0,1,0.0,0,1
mcp-hub (via mcp-remote 0.1.37),1,0,1,0.0,0,1
AgenticLoop,1,0,1,0.0,0,1
BB8-MCP-Broker-conn-237f02dd,1,0,1,0.0,0,1
abstract-agent,1,0,1,0.0,0,1
cursor-vscode (via mcp-remote 0.1.29),1,0,1,0.0,0,1
Postman Client - b6725af2-479b-4ed2-8c2e-9a89f1295d88,1,0,1,0.0,0,1
mcp-compat-probe,1,0,1,0.0,0,1
agenttool-probe,1,0,1,0.0,0,1
oten-probe,1,0,1,0.0,0,1
litellm-test,1,0,1,0.0,0,1
oic-mcp-gateway,1,0,1,0.0,0,1
solo-router-populate,1,0,1,0.0,0,1
grok-shell-Hugging Face,1,0,1,0.0,0,1
BB8-MCP-Broker-conn-5788a3ee,1,0,1,0.0,0,1
tembo,1,0,1,0.0,0,1
VSCodium - Insiders,1,0,1,0.0,0,1
evaos-probe,1,0,1,0.0,0,1
cw-v8,1,0,1,0.0,0,1
vscode,1,0,1,0.0,0,1
Postman Client - f7e45b27-e84c-4780-a1cc-b82c957946aa,1,0,1,0.0,0,1
v0.app,1,0,1,0.0,0,1
roder-test,1,0,1,0.0,0,1
cc-from-code-001,1,0,1,0.0,0,1
use-mcp-react-client,1,0,1,0.0,0,1
Research Client,1,0,1,0.0,0,1
oten-executor,1,1,0,100.0,1,1
Postman Client - 3f654c68-f8a0-4a8c-8dd1-5e1ff9b5aec2,1,0,1,0.0,0,1
rmcp (via mcp-remote 0.1.15),1,0,1,0.0,0,1
Dev ChatBot-huggingface-5be8ce72,1,0,1,0.0,0,1
magoneai-connector,1,1,0,100.0,1,1
